"title","year","metacritic_score","metacritic_rank","oscars_nom","oscars_win","min_oscar_nom_rank","oscar_win_rank","tie_rank"
"Better Living Through Circuitry",2000,70,93,0,0,124,108,9
"Kadosh",2000,70,94,0,0,124,108,10
"Butterfly Tongues",2000,69,95,0,0,124,108,1
"Small Time Crooks",2000,69,96,0,0,124,108,2
"Nurse Betty",2000,69,97,0,0,124,108,3
"The Last September",2000,69,98,0,0,124,108,4
"The Girl Next Door",2000,69,99,0,0,124,108,5
"O Brother, Where Art Thou?",2000,69,100,0,0,124,108,6
"The Eyes of Tammy Faye",2000,69,101,0,0,124,108,7
"Adorenarin doraibu",2000,69,102,0,0,124,108,8
"Requiem for a Dream",2000,68,103,0,0,124,108,1
"Alice et Martin",2000,68,104,0,0,124,108,2
"Winter Sleepers",2000,68,105,0,0,124,108,3
"Theeviravaathi: The Terrorist",2000,68,106,0,0,124,108,4
"Santitos",2000,68,107,0,0,124,108,5
"Gladiator",2000,67,108,1,1,124,108,1
"Thirteen Days",2000,67,109,0,0,124,108,2
"Ghost Dog: The Way of the Samurai",2000,67,110,0,0,124,108,3
"An Affair of Love",2000,67,111,0,0,124,108,4
"Frequency",2000,67,112,0,0,124,108,5
"Chutney Popcorn",2000,66,113,0,0,124,108,1
"La nouvelle Ève",2000,66,114,0,0,124,108,2
"La bûche",2000,66,115,0,0,124,108,3
"Animal Factory",2000,65,116,0,0,124,108,1
"A Room for Romeo Brass",2000,65,117,0,0,124,108,2
"Pola X",2000,65,118,0,0,124,108,3
"Timecode",2000,65,119,0,0,124,108,4
"Dr T and the Women",2000,64,120,0,0,124,108,1
"The Tic Code",2000,64,121,0,0,124,108,2
"Vénus beauté (institut)",2000,64,122,0,0,124,108,3
"American Psycho",2000,64,123,0,0,124,108,4
"Chocolat",2000,64,124,1,0,124,108,5
"Grass",2000,64,125,0,0,124,108,6
"X-Men",2000,64,126,0,0,124,108,7
"The Patriot",2000,63,127,0,0,124,108,1
"Boiler Room",2000,63,128,0,0,124,108,2
"Saving Grace",2000,62,129,0,0,124,108,1
"Pop & Me",2000,62,130,0,0,124,108,2
"Southpaw",2000,62,131,0,0,124,108,3
"The Gift",2000,62,132,0,0,124,108,4
"Rugrats in Paris: The Movie - Rugrats II",2000,62,133,0,0,124,108,5
"The Claim",2000,62,134,0,0,124,108,6
"Finding Forrester",2000,62,135,0,0,124,108,7
"U-571",2000,62,136,0,0,124,108,8
"Unbreakable",2000,62,137,0,0,124,108,9
"Restaurant",2000,62,138,0,0,124,108,10
"Dancer in the Dark",2000,61,139,0,0,124,108,1
"One",2000,61,140,0,0,124,108,2
"Goya in Bordeaux",2000,61,141,0,0,124,108,3
"Waga jinsei saiaku no toki",2000,61,142,0,0,124,108,4
"Est - Ouest",2000,61,143,0,0,124,108,5
"My Dog Skip",2000,61,144,0,0,124,108,6
"Luminous Motion",2000,60,145,0,0,124,108,1
"Keeping the Faith",2000,60,146,0,0,124,108,2
"The Visit",2000,60,147,0,0,124,108,3
"The Perfect Storm",2000,59,148,0,0,124,108,1
"Fantasia 2000",2000,59,149,0,0,124,108,2
"Mission: Impossible II",2000,59,150,0,0,124,108,3
"Boesman and Lena",2000,59,151,0,0,124,108,4
"Waking the Dead",2000,59,152,0,0,124,108,5
"The Day Silence Died",2000,59,153,0,0,124,108,6
"The Contender",2000,59,154,0,0,124,108,7
"American Pimp",2000,59,155,0,0,124,108,8
"Les amants criminels",2000,59,156,0,0,124,108,9
"The Wisdom of Crocodiles",2000,58,157,0,0,124,108,1
"Solomon & Gaenor",2000,58,158,0,0,124,108,2
"The Trench",2000,58,159,0,0,124,108,3
"The Yards",2000,58,160,0,0,124,108,4
"Mifune's Last Song",2000,57,161,0,0,124,108,1
"Bossa Nova",2000,57,162,0,0,124,108,2
"What's Cooking?",2000,57,163,0,0,124,108,3
"Chalk",2000,57,164,0,0,124,108,4
"Sasayaki",2000,57,165,0,0,124,108,5
"The Tavern",2000,57,166,0,0,124,108,6
"Up at the Villa",2000,57,167,0,0,124,108,7
"Michael Jordan to the Max",2000,57,168,0,0,124,108,8
"Cecil B. DeMented",2000,57,169,0,0,124,108,9
"Non-Stop",2000,56,170,0,0,124,108,1
"An Everlasting Piece",2000,56,171,0,0,124,108,2
"Scream 3",2000,56,172,0,0,124,108,3
"Claire Dolan",2000,56,173,0,0,124,108,4
"The Five Senses",2000,56,174,0,0,124,108,5
"The Big Kahuna",2000,56,175,0,0,124,108,6
"Men of Honor",2000,56,176,0,0,124,108,7
"Dinosaur",2000,56,177,0,0,124,108,8
"Soft Fruit",2000,56,178,0,0,124,108,9
"Injeong sajeong bol geot eobtda",2000,55,179,0,0,124,108,1
"All the Pretty Horses",2000,55,180,0,0,124,108,2
"Cirque du Soleil: Journey of Man",2000,55,181,0,0,124,108,3
"CyberWorld",2000,55,182,0,0,124,108,4
"Tigerland",2000,55,183,0,0,124,108,5
"Road Trip",2000,55,184,0,0,124,108,6
"Groove",2000,54,185,0,0,124,108,1
"Return to Me",2000,54,186,0,0,124,108,2
"Malèna",2000,54,187,0,0,124,108,3
"Human Traffic",2000,53,188,0,0,124,108,1
"The Basket",2000,53,189,0,0,124,108,2
"The Tigger Movie",2000,53,190,0,0,124,108,3
"The Big Tease",2000,53,191,0,0,124,108,4
"Bounce",2000,52,192,0,0,124,108,1
"Charlie's Angels",2000,52,193,0,0,124,108,2
"Barenaked in America",2000,52,194,0,0,124,108,3
"Orfeu",2000,52,195,0,0,124,108,4
"Cotton Mary",2000,52,196,0,0,124,108,5
"Bring It On",2000,52,197,0,0,124,108,6
"Center Stage",2000,52,198,0,0,124,108,7
"Once in the Life",2000,52,199,0,0,124,108,8
"Romeo Must Die",2000,52,200,0,0,124,108,9
"Apocalypse Now Redux",2001,92,1,0,0,124,81,1
"The Lord of the Rings: The Fellowship of the Ring",2001,92,2,1,0,124,81,2
"Werckmeister Harmonies",2001,92,3,0,0,124,81,3
"My Voyage to Italy",2001,90,4,0,0,124,81,1
"Gosford Park",2001,90,5,1,0,124,81,2
"Ghost World",2001,88,6,0,0,124,81,1
"The Blue Angel (re-release)",2001,88,7,0,0,124,81,2
"In the Bedroom",2001,86,8,1,0,124,81,1
"Under the Sand",2001,86,9,0,0,124,81,2
"Children Underground",2001,85,10,0,0,124,81,1
"The Endurance",2001,85,11,0,0,124,81,2
"In the Mood for Love",2001,85,12,0,0,124,81,3
"Hedwig and the Angry Inch",2001,85,13,0,0,124,81,4
"The Circle",2001,85,14,0,0,124,81,5
"Lantana",2001,84,15,0,0,124,81,1
"No Man's Land",2001,84,16,0,0,124,81,2
"Shrek",2001,84,17,0,0,124,81,3
"The Day I Became a Woman",2001,84,18,0,0,124,81,4
"Together",2001,84,19,0,0,124,81,5
"Fighter",2001,83,20,0,0,124,81,1
"Amores Perros",2001,83,21,0,0,124,81,2
"The Gleaners & I",2001,83,22,0,0,124,81,3
"Juliet of the Spirits (re-release)",2001,83,23,0,0,124,81,4
"Mulholland Dr.",2001,83,24,0,0,124,81,5
"Waking Life",2001,82,25,0,0,124,81,1
"Faat Kiné",2001,81,26,0,0,124,81,1
"Kiss of the Spider Woman (re-release)",2001,80,27,0,0,124,81,1
"Jung (War) in the Land of the Mujaheddin",2001,80,28,0,0,124,81,2
"Memento",2001,80,29,0,0,124,81,3
"Last Resort",2001,80,30,0,0,124,81,4
"Monsters, Inc.",2001,79,31,0,0,124,81,1
"Dinner Rush",2001,79,32,0,0,124,81,2
"Baran",2001,79,33,0,0,124,81,3
"Sexy Beast",2001,79,34,0,0,124,81,4
"Iron Monkey",2001,79,35,0,0,124,81,5
"Trolösa",2001,79,36,0,0,124,81,6
"Va Savoir (Who Knows?)",2001,79,37,0,0,124,81,7
"Eureka",2001,78,38,0,0,124,81,1
"Aberdeen",2001,78,39,0,0,124,81,2
"The Deep End",2001,78,40,0,0,124,81,3
"The Taste of Others",2001,78,41,0,0,124,81,4
"Lumumba",2001,78,42,0,0,124,81,5
"Diamond Men",2001,78,43,0,0,124,81,6
"The Devil's Backbone",2001,78,44,0,0,124,81,7
"Southern Comfort",2001,78,45,0,0,124,81,8
"Last Orders",2001,78,46,0,0,124,81,9
"Panic",2001,77,47,0,0,124,81,1
"Our Song",2001,77,48,0,0,124,81,2
"Sobibór, 14 octobre 1943, 16 heures",2001,77,49,0,0,124,81,3
"Fat Girl",2001,77,50,0,0,124,81,4
"Kandahar",2001,76,51,0,0,124,81,1
"Djomeh",2001,76,52,0,0,124,81,2
"La grande strada azzurra",2001,76,53,0,0,124,81,3
"Iris",2001,76,54,0,0,124,81,4
"The Royal Tenenbaums",2001,76,55,0,0,124,81,5
"La Cienaga",2001,75,56,0,0,124,81,1
"Joy Ride",2001,75,57,0,0,124,81,2
"Down from the Mountain",2001,75,58,0,0,124,81,3
"Startup.com",2001,75,59,0,0,124,81,4
"Harry Is Here to Help",2001,75,60,0,0,124,81,5
"Black Hawk Down",2001,74,61,0,0,124,81,1
"Code Unknown: Incomplete Tales of Several Journeys",2001,74,62,0,0,124,81,2
"The Others",2001,74,63,0,0,124,81,3
"Ocean's Eleven",2001,74,64,0,0,124,81,4
"Scottsboro: An American Tragedy",2001,74,65,0,0,124,81,5
"Little Otik",2001,74,66,0,0,124,81,6
"Liam",2001,74,67,0,0,124,81,7
"The Dish",2001,74,68,0,0,124,81,8
"A Matter of Taste",2001,74,69,0,0,124,81,9
"Behind the Sun",2001,73,70,0,0,124,81,1
"Cool and Crazy",2001,73,71,0,0,124,81,2
"The Man Who Wasn't There",2001,73,72,0,0,124,81,3
"Himalaya",2001,73,73,0,0,124,81,4
"L.I.E.",2001,73,74,0,0,124,81,5
"Our Lady of the Assassins",2001,73,75,0,0,124,81,6
"The Widow of Saint-Pierre",2001,73,76,0,0,124,81,7
"Innocence",2001,73,77,0,0,124,81,8
"A Song for Martin",2001,72,78,0,0,124,81,1
"Kissing Jessica Stein",2001,72,79,0,0,124,81,2
"Zheng hun qi shi",2001,72,80,0,0,124,81,3
"A Beautiful Mind",2001,72,81,1,1,124,81,4
"At the Height of Summer",2001,72,82,0,0,124,81,5
"The Closet",2001,72,83,0,0,124,81,6
"Journey to the Sun",2001,72,84,0,0,124,81,7
"Spy Kids",2001,71,85,0,0,124,81,1
"The Score",2001,71,86,0,0,124,81,2
"The Road Home",2001,71,87,0,0,124,81,3
"The Pledge",2001,71,88,0,0,124,81,4
"In July",2001,71,89,0,0,124,81,5
"Tape",2001,71,90,0,0,124,81,6
"Jails, Hospitals & Hip-Hop",2001,71,91,0,0,124,81,7
"Donnie Darko",2001,71,92,0,0,124,81,8
"Cure",2001,70,93,0,0,124,81,1
"Bad Company",2001,70,94,0,0,124,81,2
"Ginger Snaps",2001,70,95,0,0,124,81,3
"Adanggaman",2001,70,96,0,0,124,81,4
"Amélie",2001,69,97,0,0,124,81,1
"Mysterious Object at Noon",2001,69,98,0,0,124,81,2
"Training Day",2001,69,99,0,0,124,81,3
"Monster's Ball",2001,69,100,0,0,124,81,4
"Go Tigers!",2001,69,101,0,0,124,81,5
"Divided We Fall",2001,69,102,0,0,124,81,6
"Intimacy",2001,69,103,0,0,124,81,7
"Audition",2001,69,104,0,0,124,81,8
"Così ridevano",2001,68,105,0,0,124,81,1
"Jump Tomorrow",2001,68,106,0,0,124,81,2
"Chain Camera",2001,68,107,0,0,124,81,3
"Burnt Money",2001,68,108,0,0,124,81,4
"Born Romantic",2001,68,109,0,0,124,81,5
"Bread and Tulips",2001,68,110,0,0,124,81,6
"I Remember Me",2001,68,111,0,0,124,81,7
"Erleuchtung garantiert",2001,68,112,0,0,124,81,8
"Reykjavík",2001,68,113,0,0,124,81,9
"Come Undone",2001,68,114,0,0,124,81,10
"Ha-Chaverim Shel Yana",2001,67,115,0,0,124,81,1
"Berlin Babylon",2001,67,116,0,0,124,81,2
"The Business of Strangers",2001,67,117,0,0,124,81,3
"Life and Debt",2001,67,118,0,0,124,81,4
"Too Much Sleep",2001,67,119,0,0,124,81,5
"Shadow Magic",2001,66,120,0,0,124,81,1
"Me You Them",2001,66,121,0,0,124,81,2
"Barking Dogs Never Bite",2001,66,122,0,0,124,81,3
"Trembling Before G-d",2001,66,123,0,0,124,81,4
"Moulin Rouge",2001,66,124,1,0,124,81,5
"The Tailor of Panama",2001,66,125,0,0,124,81,6
"Heist",2001,66,126,0,0,124,81,7
"Bridget Jones's Diary",2001,66,127,0,0,124,81,8
"Jimmy Neutron: Boy Genius",2001,65,128,0,0,124,81,1
"The Turandot Project",2001,65,129,0,0,124,81,2
"Chopper",2001,65,130,0,0,124,81,3
"A.I. Artificial Intelligence",2001,65,131,0,0,124,81,4
"The Town Is Quiet",2001,65,132,0,0,124,81,5
"Ali",2001,65,133,0,0,124,81,6
"About Adam",2001,64,134,0,0,124,81,1
"Harry Potter and the Sorcerer's Stone",2001,64,135,0,0,124,81,2
"Grateful Dawg",2001,64,136,0,0,124,81,3
"The Low Down",2001,64,137,0,0,124,81,4
"The Princess and the Warrior",2001,64,138,0,0,124,81,5
"The Luzhin Defence",2001,64,139,0,0,124,81,6
"Wadd: The Life & Times of John C. Holmes",2001,64,140,0,0,124,81,7
"Vengo",2001,64,141,0,0,124,81,8
"Songcatcher",2001,63,142,0,0,124,81,1
"Keep the River on Your Right: A Modern Cannibal Tale",2001,63,143,0,0,124,81,2
"Spy Game",2001,63,144,0,0,124,81,3
"Thomas in Love",2001,63,145,0,0,124,81,4
"Booye kafoor, atre yas",2001,63,146,0,0,124,81,5
"Everything Put Together",2001,63,147,0,0,124,81,6
"Bombay Eunuch",2001,63,148,0,0,124,81,7
"The Adventures of Felix",2001,63,149,0,0,124,81,8
"Princesa",2001,62,150,0,0,124,81,1
"Made",2001,62,151,0,0,124,81,2
"Brigham City",2001,62,152,0,0,124,81,3
"Vampire Hunter D",2001,62,153,0,0,124,81,4
"Fever",2001,62,154,0,0,124,81,5
"The Golden Bowl",2001,62,155,0,0,124,81,6
"Zoolander",2001,61,156,0,0,124,81,1
"Crazy/Beautiful",2001,61,157,0,0,124,81,2
"Biandan, guniang",2001,61,158,0,0,124,81,3
"Tell Me Something",2001,61,159,0,0,124,81,4
"Pandaemonium",2001,60,160,0,0,124,81,1
"Everybody's Famous!",2001,60,161,0,0,124,81,2
"Signs & Wonders",2001,60,162,0,0,124,81,3
"Under solen",2001,60,163,0,0,124,81,4
"Otomo",2001,60,164,0,0,124,81,5
"The Debut",2001,60,165,0,0,124,81,6
"Happy Accidents",2001,60,166,0,0,124,81,7
"Time and Tide",2001,60,167,0,0,124,81,8
"Bandits",2001,60,168,0,0,124,81,9
"Big Eden",2001,59,169,0,0,124,81,1
"Jin Roh: The Wolf Brigade",2001,59,170,0,0,124,81,2
"Happenstance",2001,59,171,0,0,124,81,3
"The Man Who Bought Mustique",2001,59,172,0,0,124,81,4
"Lakeboat",2001,59,173,0,0,124,81,5
"Nico and Dani",2001,59,174,0,0,124,81,6
"Legally Blonde",2001,59,175,0,0,124,81,7
"The Fast and the Furious",2001,58,176,0,0,124,81,1
"Tuvalu",2001,58,177,0,0,124,81,2
"Session 9",2001,58,178,0,0,124,81,3
"Tortilla Soup",2001,58,179,0,0,124,81,4
"Kiss of the Dragon",2001,58,180,0,0,124,81,5
"Osmosis Jones",2001,57,181,0,0,124,81,1
"Lisa Picard Is Famous",2001,57,182,0,0,124,81,2
"Hannibal",2001,57,183,0,0,124,81,3
"Saudate for the Future",2001,57,184,0,0,124,81,4
"Bread and Roses",2001,57,185,0,0,124,81,5
"Dark Blue World",2001,56,186,0,0,124,81,1
"A Knight's Tale",2001,56,187,0,0,124,81,2
"All Access: Front Row. Backstage. Live!",2001,56,188,0,0,124,81,3
"The Anniversary Party",2001,56,189,0,0,124,81,4
"Punks",2001,55,190,0,0,124,81,1
"He liu",2001,55,191,0,0,124,81,2
"Series 7: The Contenders",2001,55,192,0,0,124,81,3
"A Real Young Girl",2001,55,193,0,0,124,81,4
"Hearts in Atlantis",2001,55,194,0,0,124,81,5
"Snatch.",2001,55,195,0,0,124,81,6
"Baby Boy",2001,55,196,0,0,124,81,7
"Porn Star: The Legend of Ron Jeremy",2001,54,197,0,0,124,81,1
"From Hell",2001,54,198,0,0,124,81,2
"Downtown 81",2001,54,199,0,0,124,81,3
"Rock Star",2001,54,200,0,0,124,81,4
"Spirited Away",2002,96,1,0,0,84,23,1
"Atanarjuat: The Fast Runner",2002,91,2,0,0,84,23,1
"Bloody Sunday",2002,90,3,0,0,84,23,1
"Y Tu Mamá También",2002,88,4,0,0,84,23,1
"Time Out",2002,88,5,0,0,84,23,2
"The Lord of the Rings: The Two Towers",2002,87,6,1,0,84,23,1
"Russian Ark",2002,86,7,0,0,84,23,1
"I'm Going Home",2002,86,8,0,0,84,23,2
"Talk to Her",2002,86,9,0,0,84,23,3
"The Pianist",2002,85,10,1,0,84,23,1
"About Schmidt",2002,85,11,0,0,84,23,2
"Domestic Violence",2002,85,12,0,0,84,23,3
"24 Hour Party People",2002,85,13,0,0,84,23,4
"Far From Heaven",2002,84,14,0,0,84,23,1
"Lagaan: Once Upon a Time in India",2002,84,15,0,0,84,23,2
"The Quiet American",2002,84,16,0,0,84,23,3
"The Pinochet Case",2002,84,17,0,0,84,23,4
"Rocco and His Brothers (re-release)",2002,84,18,0,0,84,23,5
"Adaptation.",2002,83,19,0,0,84,23,1
"Spider",2002,83,20,0,0,84,23,2
"Rivers and Tides: Andy Goldsworthy Working with Time",2002,82,21,0,0,84,23,1
"Safe Conduct",2002,82,22,0,0,84,23,2
"Chicago",2002,82,23,1,1,84,23,3
"Read My Lips",2002,82,24,0,0,84,23,4
"Late Marriage",2002,82,25,0,0,84,23,5
"Merci pour le Chocolat",2002,82,26,0,0,84,23,6
"Grin Without a Cat",2002,81,27,0,0,84,23,1
"The Hours",2002,80,28,1,0,84,23,1
"Promises",2002,80,29,0,0,84,23,2
"Nine Queens",2002,80,30,0,0,84,23,3
"Rabbit-Proof Fence",2002,80,31,0,0,84,23,4
"Siddhartha (re-release)",2002,80,32,0,0,84,23,5
"Minority Report",2002,80,33,0,0,84,23,6
"War Photographer",2002,79,34,0,0,84,23,1
"What Time Is It Over There?",2002,79,35,0,0,84,23,2
"The Piano Teacher",2002,79,36,0,0,84,23,3
"How I Killed My Father",2002,78,37,0,0,84,23,1
"Punch-Drunk Love",2002,78,38,0,0,84,23,2
"How to Draw a Bunny",2002,78,39,0,0,84,23,3
"Insomnia",2002,78,40,0,0,84,23,4
"Morvern Callar",2002,78,41,0,0,84,23,5
"Murderous Maids",2002,78,42,0,0,84,23,6
"Facing the Music",2002,77,43,0,0,84,23,1
"8 Mile",2002,77,44,0,0,84,23,2
"The Cockettes",2002,77,45,0,0,84,23,3
"Daughter from Danang",2002,77,46,0,0,84,23,4
"Scratch",2002,77,47,0,0,84,23,5
"Monsoon Wedding",2002,77,48,0,0,84,23,6
"Italian for Beginners",2002,77,49,0,0,84,23,7
"Dogtown and Z-Boys",2002,76,50,0,0,84,23,1
"The Sleepy Time Gal",2002,76,51,0,0,84,23,2
"Songs from the Second Floor",2002,76,52,0,0,84,23,3
"Standing in the Shadows of Motown",2002,76,53,0,0,84,23,4
"Lovely & Amazing",2002,75,54,0,0,84,23,1
"Metropolis",2002,75,55,0,0,84,23,2
"Roger Dodger",2002,75,56,0,0,84,23,3
"The Kid Stays in the Picture",2002,75,57,0,0,84,23,4
"Catch Me If You Can",2002,75,58,0,0,84,23,5
"Secret Ballot",2002,75,59,0,0,84,23,6
"About a Boy",2002,75,60,0,0,84,23,7
"The Believer",2002,75,61,0,0,84,23,8
"Shot in the Heart",2002,75,62,0,0,84,23,9
"Thirteen Conversations About One Thing",2002,74,63,0,0,84,23,1
"7 Days in September",2002,74,64,0,0,84,23,2
"Tully",2002,73,65,0,0,84,23,1
"Lilo & Stitch",2002,73,66,0,0,84,23,2
"All About Lily Chou-Chou",2002,73,67,0,0,84,23,3
"Derrida",2002,73,68,0,0,84,23,4
"Les Destinées",2002,73,69,0,0,84,23,5
"Strange Fruit",2002,73,70,0,0,84,23,6
"The Execution of Wanda Jean",2002,73,71,0,0,84,23,7
"*Corpus Callosum",2002,73,72,0,0,84,23,8
"ABC Africa",2002,73,73,0,0,84,23,9
"Spider-Man",2002,73,74,0,0,84,23,10
"Alias Betty",2002,73,75,0,0,84,23,11
"Red Satin",2002,73,76,0,0,84,23,12
"The Son's Room",2002,73,77,0,0,84,23,13
"Road to Perdition",2002,72,78,0,0,84,23,1
"The Lady and the Duke",2002,72,79,0,0,84,23,2
"All or Nothing",2002,72,80,0,0,84,23,3
"Bowling for Columbine",2002,72,81,0,0,84,23,4
"The Trials of Henry Kissinger",2002,72,82,0,0,84,23,5
"Igby Goes Down",2002,72,83,0,0,84,23,6
"Gangs of New York",2002,72,84,1,0,84,23,7
"The Rookie",2002,72,85,0,0,84,23,8
"Mostly Martha",2002,72,86,0,0,84,23,9
"Swimming",2002,71,87,0,0,84,23,1
"Tadpole",2002,71,88,0,0,84,23,2
"The Good Girl",2002,71,89,0,0,84,23,3
"Nicholas Nickleby",2002,71,90,0,0,84,23,4
"Real Women Have Curves",2002,71,91,0,0,84,23,5
"Rain",2002,71,92,0,0,84,23,6
"Narc",2002,70,93,0,0,84,23,1
"Devils on the Doorstep",2002,70,94,0,0,84,23,2
"Personal Velocity: Three Portraits",2002,70,95,0,0,84,23,3
"Elling",2002,70,96,0,0,84,23,4
"Pellet",2002,70,97,0,0,84,23,5
"Tosca",2002,70,98,0,0,84,23,6
"Pauline and Paulette",2002,70,99,0,0,84,23,7
"Undercover Brother",2002,69,100,0,0,84,23,1
"Warm Water Under a Red Bridge",2002,69,101,0,0,84,23,2
"The Ignorant Fairies",2002,69,102,0,0,84,23,3
"The Dangerous Lives of Altar Boys",2002,69,103,0,0,84,23,4
"Le bossu",2002,69,104,0,0,84,23,5
"Sunshine State",2002,69,105,0,0,84,23,6
"Space Station 3D",2002,69,106,0,0,84,23,7
"The Wild Thornberrys Movie",2002,69,107,0,0,84,23,8
"Goyangileul butaghae",2002,69,108,0,0,84,23,9
"Changing Lanes",2002,69,109,0,0,84,23,10
"Girls Can't Swim",2002,68,110,0,0,84,23,1
"Family Fundamentals",2002,68,111,0,0,84,23,2
"Mule Skinner Blues",2002,68,112,0,0,84,23,3
"Heaven",2002,68,113,0,0,84,23,4
"The Bourne Identity",2002,68,114,0,0,84,23,5
"Shanghai Ghetto",2002,68,115,0,0,84,23,6
"Son of the Bride",2002,68,116,0,0,84,23,7
"Etoiles: Dancers of the Paris Opera Ballet",2002,68,117,0,0,84,23,8
"25th Hour",2002,67,118,0,0,84,23,1
"Cremaster 3",2002,67,119,0,0,84,23,2
"Ivansxtc",2002,67,120,0,0,84,23,3
"Confessions of a Dangerous Mind",2002,67,121,0,0,84,23,4
